,id,name,image,league,logo,party_id,seat_id,el_status,vote,center
24,943,Atikur Rahman Ratan Molla,1770845567.,Bangladesh Republican Party (BRP),1769855675.jpg,70,48,,,27
25,944,Alamgir Kabir,1770845572.,Independent,1704551148.jpg,32,48,,,27
26,946,Md. Rafiqul Islam,1770845584.,Islami Andolon Bangladesh,1769852567.png,37,48,,,27
27,1777,Md. Mujibur Rahman,1770825440.jpg,Bangladesh Jamaat-e-Islami,1769852416.png,36,49,,18336,14
28,1778,Md. Sharif Uddin,1770440951.jpg,Bangladesh Nationalist Party (BNP),1769852771.webp,38,49,,10113,14
29,1774,Mir Md. Shahjahan,1770825353.jpg,Gono Odhikar Parishad (GOP),1770210478.jpeg,39,49,,,14
30,1775,Md. Abdur Rahman,1770825382.jpg,Amar Bangladesh Party (AB Party),1769855528.jpg,66,49,,,14
31,1776,Md. Al-Saad,1770825413.jpg,Independent,1704551148.jpg,32,49,,,14
32,1780,Md. Mizanur Rahman Minu,1770441002.jpg,Bangladesh Nationalist Party (BNP),1769852771.webp,38,50,,15144,14
33,1782,Mohammad Jahangir,1770825557.jpg,Bangladesh Jamaat-e-Islami,1769852416.png,36,50,,11013,14
34,1779,Md. Saeed Noman,1770825509.jpg,Amar Bangladesh Party (AB Party),1769855528.jpg,66,50,,,14
35,1781,Md. Mezbaul Islam,1770825535.jpg,Bangladesh Labour Party,1770206037.jpg,114,50,,,14
36,1783,Mohammad Samsul Alam,1770825579.jpg,Nagorik Oikya,1769855423.png,64,50,,,14
37,1784,Saleh Ahmed,1770825603.jpg,Independent,1704551148.jpg,32,50,,,14
38,1790,Mohammad Shafiqul Haque Milon,1770441184.jpg,Bangladesh Nationalist Party (BNP),1769852771.webp,38,51,,23015,19
39,1786,Md. Abul Kalam Azad,1770825694.jpg,Bangladesh Jamaat-e-Islami,1769852416.png,36,51,,14510,19
40,1785,Md. Afzal Hossain,1770825659.jpg,Jatiya Party (JaPa),1702196200.png,5,51,,,19
41,1787,Md. Fazlur Rahman,1770825719.jpg,Islami Andolon Bangladesh,1769852567.png,37,51,,,19
42,1788,Md. Said Parvez,1770825751.jpg,Am Janata Party,1769853544.jpg,41,51,,,19
43,1789,Mosammat Habiba Begum,1770825770.jpg,Independent,1704551148.jpg,32,51,,,19
44,1792,Md. Abdul Bari Sardar,1770825834.jpg,Bangladesh Jamaat-e-Islami,1769852416.png,36,52,,43295,40
45,1791,D. M. D. Ziaur Rahman,1770441218.jpg,Bangladesh Nationalist Party (BNP),1769852771.webp,38,52,,40655,40
46,1793,Md. Tajul Islam Khan,1770825856.jpg,Islami Andolon Bangladesh,1769852567.png,37,52,,,40
47,1794,Md. Fazlul Haque,1770825978.jpg,Jatiya Party (JaPa),1702196200.png,5,52,,,40
48,1795,Professor Nazrul Islam,1770441290.jpg,Bangladesh Nationalist Party (BNP),1769852771.webp,38,53,,14869,13
49,1796,Manjur Rahman,1770826075.jpg,Bangladesh Jamaat-e-Islami,1769852416.png,36,53,,5372,13
50,1797,Md. Altaf Hossain Molla,1770826099.jpg,Bangladesh Supreme Party (BSP),1769857390.jpg,78,53,,,13
