seat_name,party,name,vote,center,division_id,total_center,time,source,voters,male_voters,female_voters,thirdgender_voters,vote_pc
Naogaon-1,CPB,Dr. S. M. Fazlur Rahman,,53.0,5,165,2026-02-12 15:56:06.220455+00:00,dt,474067.0,235379.0,238684.0,4.0,
Naogaon-1,Islami Andolan Bangladesh,Sohrab Hossain,,53.0,5,165,2026-02-12 15:56:06.220455+00:00,dt,474067.0,235379.0,238684.0,4.0,
Naogaon-1,JaPa,Md. Altaf Hossain,,53.0,5,165,2026-02-12 15:56:06.220455+00:00,dt,474067.0,235379.0,238684.0,4.0,
Naogaon-1,Jamaat,Md. Abdur Rakib,40685.0,53.0,5,165,2026-02-12 15:56:06.220455+00:00,dt,474067.0,235379.0,238684.0,4.0,8.58
Naogaon-2,BNP,Md. Zahidul Islam Dhalu,36971.0,30.0,5,124,2026-02-12 15:56:06.220455+00:00,dt,372436.0,185375.0,187059.0,2.0,9.93
Naogaon-2,CPB,Shafiqul Islam,,30.0,5,124,2026-02-12 15:56:06.220455+00:00,dt,372436.0,185375.0,187059.0,2.0,
Naogaon-2,Islami Andolan Bangladesh,Md. Abdur Rahman,,30.0,5,124,2026-02-12 15:56:06.220455+00:00,dt,372436.0,185375.0,187059.0,2.0,
Naogaon-2,JaPa,Md. Anwar Hossain,,30.0,5,124,2026-02-12 15:56:06.220455+00:00,dt,372436.0,185375.0,187059.0,2.0,
Naogaon-2,Jamaat,Abu Sadat Md. Sayem,24885.0,30.0,5,124,2026-02-12 15:56:06.220455+00:00,dt,372436.0,185375.0,187059.0,2.0,6.68
Naogaon-3,BNP,Sheikh Md. Rezaul Islam,25541.0,27.0,5,141,2026-02-12 15:56:06.220455+00:00,dt,440785.0,218988.0,221796.0,1.0,5.79
Naogaon-3,Islami Andolan Bangladesh,Md. Rafiqul Islam,,27.0,5,141,2026-02-12 15:56:06.220455+00:00,dt,440785.0,218988.0,221796.0,1.0,
