seat_no,name,vote,party,alliance,seat,district,division,region,voters,male_voters,female_voters,thirdgender_voters,time,vote_pc
44,মোঃ আমিনুল ইসলাম,155119,BNP,BNP,Chapai Nawabganj-2,Chapai Nawabganj,Rajshahi,Rural,461000.0,228825.0,232174.0,1.0,2026-02-14 14:42:37.115645+00:00,33.65
44,মুঃ মিজানুর রহমান,171227,Jamaat,Jamaat-NCP,Chapai Nawabganj-2,Chapai Nawabganj,Rajshahi,Rural,461000.0,228825.0,232174.0,1.0,2026-02-14 14:42:37.115645+00:00,37.14
45,মোঃ হারুনুর রশীদ,127037,BNP,BNP,Chapai Nawabganj-3,Chapai Nawabganj,Rajshahi,Urban,468479.0,236648.0,231831.0,0.0,2026-02-14 14:42:37.115645+00:00,27.12
45,মোঃ নূরুল ইসলাম,189640,Jamaat,Jamaat-NCP,Chapai Nawabganj-3,Chapai Nawabganj,Rajshahi,Urban,468479.0,236648.0,231831.0,0.0,2026-02-14 14:42:37.115645+00:00,40.48
278,নুরুল আমিন,127645,BNP,BNP,Chittagong-1,Chittagong,Chittagong,Rural,386674.0,199859.0,186811.0,4.0,2026-02-14 14:42:37.115645+00:00,33.01
278,মোহাম্মদ ছাইফুর রহমান,81227,Jamaat,Jamaat-NCP,Chittagong-1,Chittagong,Chittagong,Rural,386674.0,199859.0,186811.0,4.0,2026-02-14 14:42:37.115645+00:00,21.01
287,সাঈদ আল নোমান,122978,BNP,BNP,Chittagong-10,Chittagong,Chittagong,Urban,492444.0,249784.0,242631.0,29.0,2026-02-14 14:42:37.115645+00:00,24.97
287,মুহাম্মদ শামসুজ্জামান হেলালী,76919,Jamaat,Jamaat-NCP,Chittagong-10,Chittagong,Chittagong,Urban,492444.0,249784.0,242631.0,29.0,2026-02-14 14:42:37.115645+00:00,15.62
288,আমির খসরু মাহমুদ চৌধুরী,115999,BNP,BNP,Chittagong-11,Chittagong,Chittagong,Urban,495278.0,252333.0,242942.0,3.0,2026-02-14 14:42:37.115645+00:00,23.42
288,মোহাম্মদ শফিউল আলম,76681,Jamaat,Jamaat-NCP,Chittagong-11,Chittagong,Chittagong,Urban,495278.0,252333.0,242942.0,3.0,2026-02-14 14:42:37.115645+00:00,15.48
289,মোহাম্মদ এনামুল হক,134080,BNP,BNP,Chittagong-12,Chittagong,Chittagong,Rural,352695.0,184254.0,168440.0,1.0,2026-02-14 14:42:37.115645+00:00,38.02
289,ছৈয়দ এয়ার মোহাম্মদ পেয়ারু,28777,Bangladesh Islami Front,no alliance,Chittagong-12,Chittagong,Chittagong,Rural,352695.0,184254.0,168440.0,1.0,2026-02-14 14:42:37.115645+00:00,8.16
290,সরওয়ার জামাল নিজাম,125460,BNP,BNP,Chittagong-13,Chittagong,Chittagong,Rural,395246.0,207714.0,187532.0,0.0,2026-02-14 14:42:37.115645+00:00,31.74
290,"এস, এম, শাহজাহান",54627,Bangladesh Islami Front,no alliance,Chittagong-13,Chittagong,Chittagong,Rural,395246.0,207714.0,187532.0,0.0,2026-02-14 14:42:37.115645+00:00,13.82
